Neighborhood name,Spellings,Zipcodes,Coordinate approx,Wiki,Description
Broadview,"broadview, broad view",98133,"47.720676, -122.368312","https://en.wikipedia.org/wiki/Broadview,_Seattle","Broadview is a neighborhood in the northwest corner of the city, bordering Shoreline. It was named after its panoramic views of the Puget Sound and Olympic Mountains."
Bitter Lake,"bitter lake, bitterlake",98125,"47.726, -122.351","https://en.wikipedia.org/wiki/Bitter_Lake,_Seattle",Bitter Lake is a neighborhood in Seattle named after its lake. It was mostly a Douglas fir and red cedar forest until the late 19th century. Development picked up when the Seattle-to-Everett Interurban streetcar reached the lake in 1906. A sawmill operated in the area until 1913 when most of the trees in the area had been cut down.
Blue Ridge,"blue ridge, blueridge",98177,"47.702888, -122.37844","https://en.wikipedia.org/wiki/Blue_Ridge,_Seattle","Blue Ridge is bounded on the south by NW 100th Street, beyond which lies Crown Hill; on the east by 12th Ave NW, beyond which lies Greenwood; on the north by Carkeek park; and on the west by the Puget Sound."
Crown Hill,"crown hill, crownhill",98117,"47.695668, -122.372253","https://en.wikipedia.org/wiki/Crown_Hill,_Seattle","Crown Hill is bounded on the south by NW 8th Street, beyond which is Loyal and Whittier Heights, followed by Ballard; on the east by 8th Ave; beyond which is Greenwood; on the north by NW 105th Street, beyond which are Broadview, Carkeek Park, and Blue Ridge. "
Greenwood,"greenwood, green wood",98117,"47.690612, -122.3553","https://en.wikipedia.org/wiki/Greenwood,_Seattle","Greenwood is a neighborhood in north central Seattle. The intesection of Greenwood Ave NE and North 85th Street is its commercial center. Greenwood is known for its bars, restaurants, coffee shops and specialty stores."
Northgate,"northgate, north gate",98125,"47.708333, -122.328333","https://en.wikipedia.org/wiki/Northgate,_Seattle","Northgate is an upscale district of neighborhoods in north urban Seattle named ofr and surrounding Northgate Mall, the first covered mall in the United States."
Maple Leaf,"mapleleaf, maple leaf","98125, 98115","47.6975, -122.319167","https://en.wikipedia.org/wiki/Maple_Leaf,_Seattle",The Maple Leaf neighborhood first appeared on maps in 1894 as a plat by real estate promoters and was originally called the Maple Leaf Addition to the Green Lake Tract.
Lake City,"lake city, lakecity",98125,"47.7175, -122.284012","https://en.wikipedia.org/wiki/Lake_City,_Seattle","Lake City is the northeast region of Seattle, centered along Lake City Way, 7-8 miles northeast of downtown."
Cedar Park,"cedarpark, cedar park",98125,"47.724444, -122.2875","https://en.wikipedia.org/wiki/Cedar_Park,_Seattle",Cedar Park is a neighborhood within Lake City. The name generally refers to the residential neighborhoods on the eastern edge of Lake City adjoining Lake Washington.
Matthews Beach,"matthew's beach, matthews beach",98115,"47.698333, -122.276667","https://en.wikipedia.org/wiki/Matthews_Beach,_Seattle",Matthews Beach is a neighborhood in Seattle that alongside Meadowbrook comprised the annexed township of Lake City.
Meadowbrook,"meadowbrook, meadowbrooke",98125,"47.706389, -122.294444","https://en.wikipedia.org/wiki/Meadowbrook,_Seattle","Meadowbrook is a neighborhood in the Lake City district (annexed in 1954) of Seattle, Washington."
Olympic Hills,"olympic hills, olympichills",98125,"47.726444, -122.302583","https://en.wikipedia.org/wiki/Olympic_Hills,_Seattle","Olympic Hills is a neighborhood in the Lake City district of Seattle, Washington."
Victory Heights,"victory heights, victoryheights",98125,"47.706389, -122.306917","https://en.wikipedia.org/wiki/Victory_Heights,_Seattle","Victory Heights is a neighborhood in the Lake City district of Seattle, Washington. It takes its name from the Victory Highway which formed the eastern border of the neighborhood."
Wedgwood,"wedgwood, wedgewood, wedge wood",98115,"47.690556, -122.286667","https://en.wikipedia.org/wiki/Wedgwood,_Seattle","Wedgwood is a middle class residential enighborhood of northeast Seattle, Washington, with a modest commercial strip."
View Ridge,"viewridge, view ridge",98115,"47.679444, -122.273889","https://en.wikipedia.org/wiki/View_Ridge,_Seattle","View Ridge is a neighborhood in northern Seattle. Its boundaries are generally thought of as NE 65th St in the south, 40 and 45th Aves NE in the west, Sand Point Country Club in the north and Sand Point Way NE in the east."
Sand Point,"sandpoint, sand point",98115,"47.682639, -122.254444","https://en.wikipedia.org/wiki/Sand_Point,_Seattle","Sand Point is a neighborhood in Seattle, WA named after the Sand Point peninsula that juts into Lake Washington, which is itself largely given over to Magnuson Park. "
